epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,2608.48,0.38758,0.29309,0.92794,0.97834,0.95219,0.96267,0.9381,0.28753,0.21119,0.80816,0.000206735,0.000206735,0.000206735
158,2624.95,0.3519,0.27429,0.90574,0.97828,0.95764,0.96224,0.93994,0.28186,0.21142,0.80458,0.000205688,0.000205688,0.000205688
159,2641.3,0.36153,0.28874,0.90714,0.97828,0.95764,0.96224,0.93994,0.28186,0.21142,0.80458,0.000204642,0.000204642,0.000204642
160,2657.82,0.39296,0.30736,0.92897,0.98484,0.95454,0.96194,0.94128,0.27973,0.2084,0.80374,0.000203595,0.000203595,0.000203595
161,2674.25,0.37506,0.28846,0.90643,0.98126,0.95621,0.95927,0.93722,0.27813,0.20772,0.80179,0.000202549,0.000202549,0.000202549
162,2690.48,0.36867,0.2884,0.90732,0.98126,0.95621,0.95927,0.93722,0.27813,0.20772,0.80179,0.000201502,0.000201502,0.000201502
163,2706.87,0.3593,0.28318,0.90297,0.98609,0.95149,0.95965,0.93796,0.27306,0.20489,0.79975,0.000200455,0.000200455,0.000200455
164,2723.23,0.39101,0.31005,0.94163,0.98123,0.95429,0.96328,0.94111,0.27335,0.20147,0.80014,0.000199409,0.000199409,0.000199409
165,2740,0.361,0.27031,0.90905,0.98123,0.95429,0.96328,0.94111,0.27335,0.20147,0.80014,0.000198362,0.000198362,0.000198362
166,2756.48,0.34772,0.26863,0.90429,0.98134,0.95766,0.96381,0.9424,0.26971,0.20364,0.799,0.000197316,0.000197316,0.000197316
167,2773.18,0.37278,0.29903,0.92343,0.98134,0.95766,0.96381,0.9424,0.26971,0.20364,0.799,0.000196269,0.000196269,0.000196269
168,2789.99,0.34982,0.2996,0.89679,0.97898,0.95967,0.96333,0.94575,0.26979,0.20666,0.79747,0.000195223,0.000195223,0.000195223
169,2806.77,0.35831,0.28655,0.90543,0.97641,0.96344,0.96405,0.94461,0.26985,0.20368,0.79689,0.000194176,0.000194176,0.000194176
170,2823.04,0.34096,0.27326,0.89413,0.97641,0.96344,0.96405,0.94461,0.26985,0.20368,0.79689,0.000193129,0.000193129,0.000193129
171,2839.41,0.35428,0.29029,0.90621,0.96771,0.96669,0.96432,0.94559,0.26393,0.20944,0.79741,0.000192083,0.000192083,0.000192083
172,2855.71,0.36859,0.28567,0.90646,0.98892,0.95649,0.96274,0.94461,0.26393,0.20309,0.79583,0.000191036,0.000191036,0.000191036
173,2872.08,0.36342,0.28589,0.88973,0.98892,0.95649,0.96274,0.94461,0.26393,0.20309,0.79583,0.00018999,0.00018999,0.00018999
174,2888.54,0.36465,0.28921,0.90091,0.98302,0.96035,0.96345,0.94468,0.26347,0.20042,0.79883,0.000188943,0.000188943,0.000188943
175,2904.87,0.37662,0.28755,0.90653,0.98302,0.96035,0.96345,0.94468,0.26347,0.20042,0.79883,0.000187897,0.000187897,0.000187897
176,2921.49,0.34938,0.28218,0.89578,0.96541,0.96625,0.96363,0.94253,0.26062,0.19945,0.80389,0.00018685,0.00018685,0.00018685
177,2938.39,0.33345,0.27958,0.89419,0.96951,0.96683,0.96372,0.9428,0.27232,0.20025,0.79871,0.000185803,0.000185803,0.000185803
178,2954.65,0.33179,0.269,0.89573,0.96951,0.96683,0.96372,0.9428,0.27232,0.20025,0.79871,0.000184757,0.000184757,0.000184757
179,2971.02,0.36447,0.28859,0.90549,0.9773,0.96664,0.96393,0.94778,0.26991,0.19877,0.79417,0.00018371,0.00018371,0.00018371
